regimenId,regimenName,treatmentLine,ageCategory,regimenAddTime
492,AZT-3TC-ATV-RIT,Second Line,,2/15/22 5:44
493,TDF-3TC-NEV,First Line,,2/15/22 5:48
494,AZT-3TC-ATV/RTV,Second Line,,2/15/22 6:24
495,NAA-NAA-AZT-3TC/LPV/r,Second Line,,2/15/22 8:16
496,AZT-3TC-NEV,First Line,,2/15/22 9:12
497,AZT-3TC-NEV,,,2/15/22 9:16
498,TDF-3TC-LP//r,Second Line,,2/15/22 9:50
499,ABC-3TC-LPVr -RTV,First Line,,2/15/22 10:24
500,TDF-3TC-ATV/r,,,2/15/22 10:55
501,AZT-3TC-EFV,,,2/15/22 11:23
502,AZT-3TC-NVP,,,2/15/22 12:05
503,ABC-3TC-LPV/r,,,2/15/22 12:08
504,TDF/ -3TC-LPV/r,First Line,,2/15/22 12:13
505,ABC-3TC-...-ATV/RTV,Second Line,,2/15/22 12:18
506,ABC-3TC-EFV,,,2/15/22 12:22
507,ABC-3TC-...-LPV/RTV,Second Line,,2/15/22 12:49
508,AZT-3TC-...-NVP,First Line,,2/15/22 13:02
509,TLD-3TC-DTG,Third Line,,2/15/22 13:37
510,ABC-3TC-DTG/ ,First Line,,2/15/22 13:46
511,ABC-3TC-LPVr ,Second Line,,2/15/22 13:55
512,TDF-3TC-EFV,,,2/15/22 13:59
513,AZT-3TC-DTG-ATV/RTV,Third Line,,2/15/22 14:56
514,AZT+3TC+DVR/r,Second Line,,2/16/22 1:00
515,DTG-----DRV/r,Third Line,,2/16/22 2:06
516,TLD-3TC-DTG,Second Line,,2/16/22 5:41
517,AZT-3TC-NVP,,,2/16/22 7:44
518,AZT-3TC-DTG,,,2/16/22 9:25
519,ETR-DTG-DRV-R,Third Line,,2/16/22 11:53
520,TDF-3TC-DRV-R,Third Line,,2/16/22 12:05
521,D4T-3TC-EFV-.../...,First Line,,2/16/22 12:18
522,AZT-3TC-EFV-.../...,First Line,,2/16/22 12:28
523,AZT-3TC-LPV/r,Second Line,,2/16/22 12:30
524,AZT-3TC-NVP,,,2/16/22 13:42
525,TDF-3TC-DVR/RIT,Third Line,,2/16/22 14:07
526,DRV-RTV-TDF-3TC/DTG,Third Line,,2/16/22 15:41
527,TDG-3TC-DTG,Second Line,,2/17/22 1:42
528,TDF-3TC-DTG,,,2/17/22 2:04
529,ABC-3TC-DTG-DRV,Third Line,,2/17/22 6:54
530,TDG-3TC-DTG,First Line,,2/17/22 6:58
531,TDF-3TC-AT//r,Second Line,,2/17/22 7:44
532,AZT-3TC-AT//r,Second Line,,2/17/22 8:00
533,TDF-3TC-EFV/r,First Line,,2/17/22 8:00
534,RAL-LPV-RTV,Second Line,,2/17/22 11:16
535,ABC-3TC-LP//r,First Line,,2/17/22 11:25
536,AZT-3TC-DTG-DRV/RTV,Third Line,,2/17/22 12:29
537,TDF-3TC-ATV/r,,,2/17/22 12:57
538,DTG-...-DRV/r,Third Line,,2/18/22 2:10
539,TDF-3TC-LPV-RTV,Second Line,,2/18/22 5:54
540,ABC-3TC-DTG-ETV/DRVrt,Third Line,,2/21/22 11:58
541,ABC-3TC-DTG-ETV/D/Rtv,Third Line,,2/21/22 12:03
542,ABC-3TC-DTG-ETV/DR/rt,Third Line,,2/21/22 12:07
543,AZT-3TC-NVP,,,2/21/22 12:46
544,3TC-3TC-DTG-TDF/3TC,Second Line,,2/22/22 14:01
545,TDF-3TC-DTG----/---,Second Line,,2/22/22 14:06
546,TDF-3TC-DTG/DTG,Second Line,,2/23/22 9:40
547,TDF-TDF-3TC-DTG,Second Line,,2/23/22 9:43
548,TDF/-3TC-/AT/v,Second Line,,2/23/22 10:34
549,TDF-3TC-EFV,,,2/23/22 10:37
550,TDF+3TC+DRV+RTV,Third Line,,2/24/22 1:00
551,XXX-XXX-EFV,First Line,,2/25/22 15:03
552,TDF-3TC-ATV-RTV,,,2/28/22 7:08
553,AZT-3TC-LP//r,Second Line,,2/28/22 14:44
554,DTG+ATV/R,Third Line,,3/1/22 1:00
555,TDF-3TC-DRV/r,Second Line,,3/1/22 14:28
556,ABC-3TC-ATV-RTV,,,3/2/22 7:03
557,DTG-DRV-RTV/ETV,Third Line,,3/2/22 10:06
558,ABC-3TC-LPV/RTV,,,3/3/22 12:08
559,TDF-3TC-DTG-ATV/RTV,Third Line,,3/9/22 10:52
560,AZT-3TC-LPV-RTV,Second Line,,3/9/22 12:03
561,TDF-3TC-DTG-ATV/RTV,Second Line,,3/13/22 19:18
562,ETR-DTG-DRV-RTV,Third Line,,3/15/22 12:39
563,ABC-3TC-DTG-LPV/RTV,Second Line,,3/15/22 21:49
564,ABC-3TC-RAL-DRV/rtv,Third Line,,3/16/22 9:09
565,ABC-3TC-DT-DRV/rtv,Third Line,,3/17/22 10:52
566,TDF-3TC-DTG-DRV/RTV,Second Line,,3/17/22 12:04
567,TDF-3TC-ATV-r,Third Line,,3/17/22 14:48
568,000-000-DTG-ABC/3TC,First Line,,3/18/22 8:45
569,000-000-DTG-TDF/3TC,Second Line,,3/18/22 8:57
570,AZT-3TC-EFV,,,3/18/22 13:02
571,ABC/-3TC-LPV/r,First Line,,3/19/22 15:27
572,ABC/-3TC-EFV,First Line,,3/19/22 15:28
573,TDF-3TC-ATV/r,,,3/20/22 6:21
574,ABC-3TC-ATV/r,,,3/20/22 6:55
575,D4T-3TC-NVP,,,3/20/22 8:29
576,AZT+3TC+DTG,Third Line,,3/21/22 5:46
577,CBV-3TC-NVP,First Line,,3/21/22 8:44
578,TDF-3TC-EFV-TDF/3TC,First Line,,3/23/22 6:26
579,DTG-TDF-3TC,Second Line,,3/23/22 15:35
580,TDF-3TC-DTG,,,3/24/22 4:23
581,DDI-3TC-LPV/r,Second Line,,3/24/22 8:47
582,DRV+RTV+RAL+ABC+3TC,Third Line,,3/24/22 22:01
583,DRV-RTV-DGT-TDF/3TC,Third Line,,3/25/22 8:24
584,AZT-3TC-LPV/RTV,First Line,,3/25/22 9:53
585,TDF-3TC-DRV-RTV/DTG,Third Line,,3/25/22 10:58
586,ABC-DDI-LPV/r,Second Line,,3/25/22 13:29
587,TDF-3TC-TDF-3TC/EFV,First Line,,3/28/22 7:52
588,TDF-TDF-3TC-3TC/EFV,First Line,,3/28/22 7:53
589,AZT-3TC--------/ATV/r,Second Line,,3/28/22 7:55
590,TDF-----3TC----/ATV/r,First Line,,3/28/22 7:56
591,AZT-----3TC----/EFV,Second Line,,3/28/22 7:56
592,TDF-----3TC----/EFV,First Line,,3/28/22 7:57
593,AZT-----3TC----/ATV/r,Second Line,,3/28/22 7:58
594,ABC-3TC-LPV-R Pel,First Line,,3/28/22 8:49
595,AZT-----3TC----/DTG,Second Line,,3/28/22 11:00
596,ABC-3TC-DTG-ETV/DRV/r,Third Line,,3/29/22 10:48
597,TDF-3TC-ETV-DRV/RTV,Third Line,,3/29/22 12:43
598,3TC-AZT-LPV/r,Second Line,,3/29/22 13:28
599,ABC-3TC-EFV,,,3/30/22 6:10
600,ABC-3TC-RAL-DRV/RTV,,,4/2/22 10:08
601,ABC-3TC-RAL-DRV/RTV,,,4/2/22 10:08
602,TDF-3TC-ATV/r,,,4/4/22 10:15
603,TDF-3TC-000/DTG,Second Line,,4/4/22 12:09
604,TDF-FTC-EFV-RAL,First Line,,4/4/22 17:04
605,TDF-FTC-EFV,,,4/4/22 17:11
606,ABC-3TC-LPV/r,,,4/5/22 4:57
607,TLD-DTG-ETR-DRV/r,Third Line,,4/5/22 9:49
608,DTG-LPV-RTV,Third Line,,4/5/22 10:16
609,TDF-3TC-LPV/r,,,4/5/22 11:36
610,AZT-3TC-ATV/r,,,4/5/22 11:36
611,TDF-3TC-DTG,,,4/6/22 13:32
612,TDF-3TC-LPV/r,,,4/7/22 13:29
613,3TC-DTG-DRV-RTV,Third Line,,4/7/22 15:46
614,AZT-3TC-NVP,,,4/8/22 6:45
615,AZT-3TC-ATR-RTV,Second Line,,4/11/22 11:03
616,AZT-3TC-NUP,First Line,,4/11/22 14:19
617,AZT-----3TC----/NVP,First Line,,4/11/22 14:34
618,TDF-----3TC----/LPV/r,,,4/11/22 14:36
619,TDF-----3TC----/ATV/r,,,4/11/22 14:38
620,TDF-----3TC----/LPV/r,Second Line,,4/11/22 15:04
621,TDF-----3TC----/ATV/r,Second Line,,4/11/22 15:05
622,DTG-DRV-RTV-ABC/3TC,Third Line,,4/12/22 13:15
623,TDF-3TC-3TC,First Line,,4/12/22 13:57
624,AZT-3TC-ATV/r-TDF,Second Line,,4/13/22 7:28
625,TDF-3TC-DTG,,,4/13/22 8:10
626,3TC-TDF-DTG,Third Line,,4/15/22 16:06
627,TDF-3TC-EFV,,,4/16/22 20:56
628,AZT-3TC-EFV,,,4/19/22 10:43
629,D4T-3TC-LPV/r,First Line,,4/19/22 12:29
630,AZT-3TC-NVP,,,4/19/22 12:37
631,EFV-EFV-EFV-TDF/3TC,First Line,,4/21/22 12:04
632,TDF-3TC-NVP,,,4/24/22 15:02
633,3TC-NVP-D4T,First Line,,4/25/22 13:14
634,ABC/ -3TC-DTG,First Line,,4/26/22 8:49
635,ETR-LPV-RTV,Third Line,,4/28/22 4:11
636,AZT-3TC----/NVP,First Line,,4/29/22 13:08
637,AZT-3TC-----EFV,First Line,,4/29/22 13:12
638,TDF-3TC-DTG,,,5/3/22 5:54
639,ABC/ -3TC-LPVr ,Second Line,,5/3/22 6:34
640,AZT-3TC-EFVr ,First Line,,5/3/22 6:38
641,ABC/-3TC-LPV/r,Second Line,,5/3/22 9:02
642,AZT-3TC-ATV-RTV,Third Line,,5/4/22 9:53
643,TDF-3TC-LPV-r,First Line,,5/5/22 12:41
644,ABC-3TC-ATV-r,Second Line,,5/5/22 13:47
645,TDF-FTC-NVP,First Line,,5/5/22 14:18
646,RLT-LPV-RTV,First Line,,5/5/22 14:21
